"estacao";"data";"umidade.relativa.media";"velocidade.do.vento.media";"precipitacao";"estacaoano"
83767;2017-09-03;47.75;1.666667;0;"Inverno"
83767;2017-09-04;40;1;0;"Inverno"
83767;2017-09-05;35;1;0;"Inverno"
83767;2017-09-06;33.25;2;0;"Inverno"
83767;2017-09-07;32.75;1.666667;0;"Inverno"
83767;2017-09-08;31.25;1.666667;0;"Inverno"
83767;2017-09-09;33.25;1.666667;0;"Inverno"
83767;2017-09-10;30;1.666667;0;"Inverno"
83767;2017-09-11;38.75;0.666667;0;"Inverno"
83767;2017-09-12;36;1.333333;0;"Inverno"
83767;2017-09-13;35;1.666667;0;"Inverno"
83767;2017-09-14;33.25;2;0;"Inverno"
83767;2017-09-15;33.5;1.333333;0;"Inverno"
83767;2017-09-16;53;1.333333;0;"Inverno"
83767;2017-09-17;55.5;0.666667;0;"Inverno"
83767;2017-09-18;43.25;1;0;"Inverno"
83767;2017-09-19;36.5;0.666667;0;"Inverno"
83767;2017-09-20;32;1.666667;0;"Inverno"
83767;2017-09-21;35.5;1.666667;0;"Primavera"
83767;2017-09-22;36.75;0.666667;0;"Primavera"
83767;2017-09-23;40;1;0;"Primavera"
83767;2017-09-24;45.25;1.666667;0;"Primavera"
83767;2017-09-25;47.25;2;0;"Primavera"
83767;2017-09-26;46.75;1.333333;0;"Primavera"
83767;2017-09-27;44.5;1;0;"Primavera"
83767;2017-09-28;41.75;1;0;"Primavera"
83767;2017-09-29;92.25;1.333333;19;"Primavera"
83767;2017-09-30;86.5;0.666667;14.2;"Primavera"
83767;2017-10-01;67.75;1;6.7;"Primavera"
83767;2017-10-02;94;1;47.1;"Primavera"
83767;2017-10-03;49;1;1.1;"Primavera"
83767;2017-10-04;35.75;1.666667;0;"Primavera"
83767;2017-10-05;51;2;0;"Primavera"
83767;2017-10-06;52.5;1;0;"Primavera"
83767;2017-10-07;82.25;1.666667;2.5;"Primavera"
83767;2017-10-08;90.75;1;41.6;"Primavera"
83767;2017-10-09;73;1.666667;3.4;"Primavera"
83767;2017-10-10;62.25;1.333333;0;"Primavera"
